impact,confidence,detector,finding
Informational,High,assembly,"HookDeployer.deployHookAt(bytes32,IPoolManager,address,address,CurveMath.CurveConfig,address) (src/HookDeployer.sol#128-143) uses assembly"
Informational,High,assembly,"ControllerDeployer.deployControllerAt(bytes32,PSPToken,IERC20,CurveMath.CurveConfig,address,address,StakerDeployer) (src/ControllerDeployer.sol#88-119) uses assembly"
Informational,High,assembly,"ControllerDeployer.deployController(PSPToken,IERC20,CurveMath.CurveConfig,address,address,StakerDeployer) (src/ControllerDeployer.sol#38-78) uses assembly"
Informational,Medium,costly-loop,"PSPStaker._settleAndPay(uint256,address,bool) (src/PSPStaker.sol#404-421) has costly operations inside a loop:"
Informational,High,cyclomatic-complexity,"HookMiner.nextCandidateCapped(address,bytes32,uint160,bytes,bytes,uint256,uint256) (src/utils/HookMiner.sol#148-275) has a high cyclomatic complexity (13)."
Informational,High,cyclomatic-complexity,"CurveMath.computeBuyOutput(uint256,uint256,CurveMath.CurveConfig) (src/libraries/CurveMath.sol#118-248) has a high cyclomatic complexity (27)."
Informational,High,cyclomatic-complexity,"PSPReinvestor.reinvestAll(uint256[],PoolKey,uint256,uint256) (src/PSPReinvestor.sol#84-126) has a high cyclomatic complexity (14)."
Informational,Medium,dead-code,PSPStaker._anchorNow() (src/PSPStaker.sol#326-336) is never used and should be removed
Informational,High,low-level-calls,Low level call in RoundController.detonate() (src/RoundController.sol#552-591):
Informational,High,low-level-calls,Low level call in PSPReferralRegistry._ownerOf(uint256) (src/PSPReferralRegistry.sol#145-150):
Informational,High,low-level-calls,Low level call in SepoliaMixETH.redeemETH(uint256) (src/testnet/SepoliaMixETH.sol#50-56):
Informational,High,low-level-calls,"Low level call in PSPZapOut.zapOut(PoolKey,uint256,uint256,uint256) (src/PSPZapOut.sol#55-85):"
Informational,High,low-level-calls,Low level call in RoundController._getTotalAssets() (src/RoundController.sol#261-270):
Informational,High,missing-inheritance,PSPZapIn (src/PSPZapIn.sol#21-205) should inherit from IPSPZapIn (src/interfaces/IPSPZapIn.sol#7-14)
Informational,High,missing-inheritance,PSPStaker (src/PSPStaker.sol#43-760) should inherit from IPepeDescriptor (src/PSPStaker.sol#13-15)
Informational,High,missing-inheritance,SepoliaMixETH (src/testnet/SepoliaMixETH.sol#23-65) should inherit from IMixETH (src/interfaces/IMixETH.sol#7-10)
Informational,High,missing-inheritance,PSPToken (src/PSPToken.sol#9-51) should inherit from IMintableMix (src/testnet/MixETHFaucet.sol#7-9)
Informational,High,missing-inheritance,SepoliaMixETH (src/testnet/SepoliaMixETH.sol#23-65) should inherit from IMintableMix (src/testnet/MixETHFaucet.sol#7-9)
Informational,High,missing-inheritance,HookInitCode (src/HookInitCode.sol#46-78) should inherit from IHookInitCode (src/HookInitCode.sol#36-44)
Informational,High,naming-convention,"Parameter CurveMath.curveIntegral(uint256,uint256,CurveMath.CurveConfig).S1 (src/libraries/CurveMath.sol#271) is not in mixedCase"
Informational,High,naming-convention,"Parameter SineMath.sellOut(SineMath.Curve,uint256,uint256).R (src/libraries/SineMath.sol#256) is not in mixedCase"
Informational,High,naming-convention,"Parameter CurveHook.initializeCurve(uint256,uint256,uint256)._genesisPotFee (src/CurveHook.sol#835) is not in mixedCase"
Informational,High,naming-convention,"Parameter CurveMath.singleCurve(uint256,uint256,uint256,uint256).P0 (src/libraries/CurveMath.sol#412) is not in mixedCase"
Informational,High,naming-convention,Variable RoundController.VEST_DURATION (src/RoundController.sol#130) is not in mixedCase
Informational,High,naming-convention,"Parameter SineMath.buyOut(SineMath.Curve,uint256,uint256).R (src/libraries/SineMath.sol#247) is not in mixedCase"
Informational,High,naming-convention,"Parameter CurveHook.initializeCurve(uint256,uint256,uint256)._initialSupply (src/CurveHook.sol#835) is not in mixedCase"
Informational,High,naming-convention,"Parameter CurveMath.curveIntegral(uint256,uint256,CurveMath.CurveConfig).S2 (src/libraries/CurveMath.sol#271) is not in mixedCase"
Informational,High,naming-convention,Variable RoundController.PREDEPOSIT_CAP_PER_WALLET (src/RoundController.sol#123) is not in mixedCase
Informational,High,naming-convention,Variable PSPReferralRegistry.TIER_BPS (src/PSPReferralRegistry.sol#62) is not in mixedCase
Informational,High,naming-convention,Parameter CurveHook.sinePriceAt(uint256).R (src/CurveHook.sol#873) is not in mixedCase
Informational,High,naming-convention,Parameter RoundController.setHook(CurveHook)._hook (src/RoundController.sol#234) is not in mixedCase
Informational,High,naming-convention,Parameter RoundController.setFactoryRoundId(uint256)._roundId (src/RoundController.sol#238) is not in mixedCase
Informational,High,naming-convention,Variable RoundController.PREDEPOSIT_DURATION (src/RoundController.sol#110) is not in mixedCase
Informational,High,naming-convention,"Parameter CurveMath.marginalPrice(uint256,CurveMath.CurveConfig).S (src/libraries/CurveMath.sol#48) is not in mixedCase"
Informational,High,naming-convention,"Parameter CurveHook.initializeCurve(uint256,uint256,uint256)._reserveMixETH (src/CurveHook.sol#835) is not in mixedCase"
Informational,High,naming-convention,"Parameter CurveMath.multiCurve(uint256,uint256[],uint256[],bool[]).P0 (src/libraries/CurveMath.sol#438) is not in mixedCase"
Informational,High,naming-convention,Function IRoundController.VEST_DURATION() (src/interfaces/IRoundController.sol#25) is not in mixedCase
Informational,High,naming-convention,"Parameter SineMath.supplyAt(SineMath.Curve,uint256).R (src/libraries/SineMath.sol#179) is not in mixedCase"
Informational,High,naming-convention,Parameter PSPToken.setController(address)._controller (src/PSPToken.sol#35) is not in mixedCase
Informational,High,naming-convention,Variable PSPReferralRegistry.MIN_STAKE_PSP (src/PSPReferralRegistry.sol#65) is not in mixedCase
Informational,High,naming-convention,"Parameter SineMath.priceAt(SineMath.Curve,uint256).R (src/libraries/SineMath.sol#157) is not in mixedCase"
Informational,High,naming-convention,"Parameter CurveMath.singleCurve(uint256,uint256,uint256,uint256).S_inf (src/libraries/CurveMath.sol#413) is not in mixedCase"
Informational,Medium,too-many-digits,Curve2Zones.config() (src/curves/Curve2Zones.sol#17-73) uses literals with too many digits:
Informational,Medium,too-many-digits,LinearZones.config() (src/curves/LinearZones.sol#19-129) uses literals with too many digits:
Informational,Medium,too-many-digits,Curve1Zones.config() (src/curves/Curve1Zones.sol#17-115) uses literals with too many digits:
